# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
7.0 20.453 2539.4 2.2082 -6206.5 -35793.0 0.0 22.796 2.3801 1.181 1.7303 1.0 1.0 0.65436 1950.3 1035.6 2769.2157 132.203376381 4758.84834036 3.05339697123 
7.0 1.1644 1600.6 0.19944 -8341.4 -26990.0 0.0 22.796 2.1385 1.2056 28.406 2.6774 5.0 1.4882 2633.9 2355.3 2780.11222188 70.5558165558 2092.46069077 1.34991806278 
7.0 38.0 2770.2 3.762 -5659.6 -37881.0 0.0 22.803 2.4169 1.1777 1.0 0.0 0.0 0.0 0.0 0.0 2770.2 0.0 0.0 0.0 
7.0 21.59 2542.1 2.3292 -6206.9 -35775.0 0.0 22.803 2.3807 1.1809 1.7305 1.0 1.0 0.65446 1950.9 1036.1 2772.032945 125.22632544 4758.12119916 3.05175390505 
7.0 1.2294 1602.8 0.21035 -8343.6 -26987.0 0.0 22.803 2.1393 1.2055 28.428 2.6782 5.0 1.4882 2634.4 2355.9 2784.06456314 66.7197341645 2092.46069077 1.34912646353 
7.0 40.0 2772.9 3.9573 -5659.6 -37860.0 0.0 22.809 2.4174 1.1776 1.0 0.0 0.0 0.0 0.0 0.0 2772.9 0.0 0.0 0.0 
7.0 22.727 2544.7 2.45 -6207.2 -35758.0 0.0 22.809 2.3812 1.1808 1.7307 1.0 1.0 0.65456 1951.5 1036.5 2774.74088 118.94738329 4757.39428013 3.05010643324 
7.0 1.2945 1605.0 0.22126 -8345.6 -26983.0 0.0 22.809 2.1401 1.2053 28.449 2.6789 5.0 1.4881 2634.8 2356.5 2787.35255699 63.2740660158 2092.60130368 1.34851819595 
7.0 42.0 2775.4 4.1524 -5659.6 -37840.0 0.0 22.815 2.4178 1.1775 1.0 0.0 0.0 0.0 0.0 0.0 2775.4 0.0 0.0 0.0 
7.0 23.864 2547.1 2.5708 -6207.6 -35741.0 0.0 22.815 2.3816 1.1807 1.7309 1.0 1.0 0.65466 1952.0 1036.9 2777.230485 113.266765773 4756.66758317 3.04858108235 
